;Bezeichnung;Standort;Land;Architekt*in 1 Vorname;Architekt*in 1 Nachname;Künstler*innenname 1;Architekt*in 2 Vorname;Architekt*in 2 Nachname;Künstler*innenname 2;Architekt*in 3 Vorname;Architekt*in 3 Nachname;Künstler*innenname 3;Jahr Entwurf;Jahr Fertigstellung;Tags;Erläuterungstext;Ansicht;Grundriss;Schnitt;Lageplan;Detail
83;Fabrik für Renault;Durango;Mexiko;Ricardo;Legoretta;;;;;;;;1984;1985;;;ricleg-fab-abb;;;;ricleg-fab-det
84;Royal Courts of Justice;London;Vereinigtes Königreich;George Edmund;Street;;;;;;;;1882;;;;geostr-roy-abb;;;;
85;Parlamentsgebäude Wien;Wien;Österreich;Theophil;von Hansen;;;;;;;;1883;;;;thevon-par-abb;thevon-par-gru;;;
86;Burgtheater;Wien;Österreich;Gottfried;Semper;;Karl;Freiherr von Hasenauer;;;;;1888;;;;gotsem-bur-abb;;;;
87;Lenbachvilla;München;Deutschland;Gabriel;von Seidl;;;;;;;;1891;;;;;;;;
88;Hôtel Tassel;Brüssel;Deutschland;Victor;Horta;;;;;;;;1892;1893;Wohnungsbau+Jugendstil+Gesamtkunstwerk+Eisen+Buntglas+Oberlicht+Stein;vichor-hot-txt;harvard;harvard;harvard;;harvard x
89;Reichstag;Berlin;Deutschland;Paul;Wallot;;;;;;;;1894;;;;harvard;harvard;;;
90;Kathedrale von Périgieux ;Périgieux;Frankreich;Paul;Abadie;;;;;;;;1895;;;;;;;;
91;Atlantida Kirche;Montevideo;Uruguay;Eladio;Dieste;;;;;;;;;;;;;;;;
92;Baerwaldbad;Berlin;Deutschland;Ludwig;Hoffmann;;;;;;;;1901;;;;;;;;
93;Neues Rathaus Leipzig;Leipzig;Deutschland;Hugo;Licht;;;;;;;;1905;;;;;;;;
94;Scotland-Yard-Bau;London;Vereinigtes Königreich;Norman;Shaw;;;;;;;;1906;;;;norsha-sco-abb;;;;
95;Garnisonskirche;Ulm;Deutschland;Theodor;Fischer;;;;;;;;1912;;;;;;;;
96;Völkerschlachtdenkmal;Leipzig;Deutschland;Bruno;Schmitz;;;;;;;;1913;;;;;;;;
97;Gartenstadt Staaken;Berlin;Deutschland;Paul;Schmitthenner;;;;;;;;1917;;;;;;;;
98;Hauptbahnhof Stuttgart;Stuttgart;Deutschland;Paul;Bonatz;;;;;;;;1922;;;;paubon-hau-abb;;;;
99;Tribune Tower;Chicago;Deutschland;Eliel;Saarinen;;;;;;;;1922;;;;elisaa-tri-abb;;;;
100;Auferstehungskapelle;Stockholm;Schweden;Sigurd;Lewerentz;;;;;;;;1925;;;;harvard;harvard;;harvard;harvard
101;Landhaus X;;Deutschand;Hermann;Muthesius;;;;;;;;;;;;;;;;
102;Kunstgewerbeschule;Weimar;Deutschland;Henry;van de Velde;;;;;;;;1906;1909;;;henvan-kun-abb;;;;
103;Johnson Wax Headquarters;Racine;Verinigte Staaten;Frank Lloyd;Wright;;;;;;;;1936;1939;;;frawri-joh-abb;frawri-joh-gru;frawri-joh-sch;;frawri-joh-det
104;Looshaus;Wien;Österreich;Adolf;Loos;;;;;;;;1909;1912;;;adoloo-loo-abb;adoloo-loo-gru;adoloo-loo-sch;;adoloo-loo-det
105;Villa Müller;Prag;Tschechien;Adolf;Loos;;;;;;;;1928;1930;;;adoloo-vil-abb;adoloo-vil-gru;adoloo-vil-sch;adoloo-vil-lag;adoloo-vil-det
106;Neue Nationalgalerie;Berlin;Deutschland;Ludwig;Mies van der Rohe;;;;;;;;1962;1967;Öffentliche Bauten+Museum+Kassettendecke+Stütze+Stahl+Glas+Raster+Vorhang;ludmie-neu-txt;ludmie-neu-abb;ludmie-neu-gru;ludmie-neu-sch;;ludmie-neu-det
107;Sainte-Marie de la Tourette;Éveux;Frankreich;Charles-Édouard ;Jeanneret-Gris;Le Corbusier;;;;;;;1953;1960;;;chajea-sai-abb;chajea-sai-gru;chajea-sai-sch;;chajea-sai-det
108;Villa Savoye;Poissy;Frankreich;Charles-Édouard ;Jeanneret-Gris;Le Corbusier;Pierre;Jeanneret;;;;;1928;1931;;;chajea-vil-abb;chajea-vil-gru;chajea-vil-sch;;chajea-vil-det
109;Lenin Institut;Moskau;Russland;Iwan;Leonidow;;;;;;;;1927;;;;harvard;harvard;;;
110;Gebäude des Volkskommissariats für Schwerindustrie;Moskau;Russland;Iwan;Leonidow;;;;;;;;1934;;;;;;;;
111;E.1027;Roquebrune-Cap-Martin;Frankreich;Eileen;Gray;;Jean;Badovici;;;;;1926;1929;;;harvard;harvard;;harvard;harvard
112;Museu de Arte de São Paulo;São Paulo;Brasilien;Lina;Bo Bardi;;;;;;;;;1968;;;linbob-mus-abb;;;;
113;SAFFA-Haus;Bern;Schweiz;Lux;Guyer;;;;;;;;;1928;;;;;;;
114;Feuerwehrhaus Vitra;Weil am Rhein;Deutschland;Zaha;Hadid;;;;;;;;;1993;;;zahhad-feu-abb;;;;harvard
115;Rolex Learning Centre;Lausanne;Schweiz;Kazuyo;Sejima;Sanaa;Ryūe;Nishizawa;Sanaa;;;;;2010;;;harvard;harvard;harvard;harvard;harvard
116;Bocconi Universität;Mailand;Italien;Shelley;McNamara;Grafton Architects;Yvonne;Farrell;Grafton Architects;;;;;2008;;;harvard;harvard;harvard;harvard;harvard
